image_name,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,score
12135,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011,Ethnic,Aurelia Women Solid Pink Kurtas,68.7
18899,Women,Apparel,Topwear,Tops,Maroon,Fall,2011,Casual,Arrow Woman Igor Maroon Top,97.5
32631,Women,Apparel,Topwear,Tshirts,Orange,Summer,2012,Sports,Nike Women Pure Orange T-shirt,86.6
54581,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,79.9
15648,Women,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Nike Women Runng Blue T-shirt,57.8
39156,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Aneri Women Black Kurta,57.8
22769,Women,Apparel,Topwear,Kurtas,Maroon,Fall,2011,Ethnic,BIBA Women Printed Maroon Kurta,52.9
58648,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012,Ethnic,ALayna Women Pink & Yellow Kurta,93.3
6211,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,UCB Women's Print Boat Blue Top,80.1
42393,Women,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Flying Machine Women White T-shirt,85.4
33028,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Mother Earth Women Printed Blue Kurta,51.0
4918,Women,Apparel,Topwear,Tops,Pink,Summer,2011,Casual,Gini and Jony Girls Vollie Pink Top,98.5
13448,Women,Apparel,Topwear,Shirts,Pink,Summer,2011,Casual,United Colors of Benetton Women Solid Pink Shirts,91.6
11552,Women,Apparel,Topwear,Kurtas,White,Summer,2011,Ethnic,W Women Printed White Kurtas,60.6
19974,Women,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,United Colors of Benetton Women Yellow T-shirt,59.1
24362,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011,Ethnic,Folklore Women Brown Printed Kurta,59.2
50705,Women,Apparel,Topwear,Tops,Cream,Summer,2012,Casual,Latin Quarters Women Cream Printed Top,65.2
24591,Women,Apparel,Topwear,Kurtas,Olive,Fall,2011,Ethnic,Vishudh Women Olive Printed Kurta,76.2
33757,Women,Apparel,Topwear,Tops,Sea Green,Summer,2012,Casual,Vero Moda Women Sea Green Top,71.6
28733,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,W Women Printed Green Kurta,64.6
12072,Women,Apparel,Topwear,Kurtas,White,Fall,2011,Ethnic,W Women Printed White Kurtas,80.6
22609,Women,Apparel,Topwear,Sweatshirts,Pink,Fall,2011,Casual,Nike Women Pink Sweatshirts,57.0
18275,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,Aneri Women Preet Blue Kurta,64.6
49657,Women,Apparel,Topwear,Tops,Brown,Summer,2012,Casual,Mineral Women Brown Top,68.3
16135,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Tokyo Talkies Women Printed White Top,72.8
